id,producto,pantalla,accion,limitacion,alternativa_actual,mejora_propuesta,prioridad,estado,escenarios,fuente_commit,evidencia
XG-ACC-001,xgestion,Venta / Item de venta,Abrir el editor del renglón seleccionado por teclado,"La versión distribuida todavía no fue inspeccionada: no hay SHA256 de FAT JAR ni evidencia JAB para habilitar el nuevo contrato.","El checkout ERP incorpora botón Editar, Ctrl+E y doble clic sobre una acción común; el runner conserva temporalmente el doble clic para paquetes sin ventas-teclado-v1.","Criterio de cierre: construir el FAT JAR por el proceso autorizado, inspeccionar botón, grilla, selección, foco y Cancelar mediante JAB, recalibrar sale.edit/editor.cancel para ese SHA256, ejecutar XG-VEN-003/007 y la regresión, y recién entonces retirar la ruta legada para ese paquete.",P1,implementado_pendiente_validacion_jar,XG-VEN-003;XG-VEN-007,488b91d2a36ba469c975c0132a029f7a0380e5d2,"Implementación técnica en el commit ERP indicado: acción compartida Editar renglón, Ctrl+E, botón, doble clic, selección view/model y restauración de foco; pruebas unitarias y guards agregados. Sin paquete privado, SHA256 de JAR ni ejecución JAB: no acredita PASS."
XG-ACC-002,xgestion,Restobar / formTicket,Editar un consumo seleccionado sin mouse,"La implementación todavía no fue inspeccionada en un FAT JAR: faltan evidencia JAB de selección/foco y prueba manual con datos reales.","El checkout ERP incorpora selección explícita, botón Editar, Ctrl+E y doble clic sobre una acción común.","Criterio de cierre: inspeccionar el FAT JAR exacto con JAB; sin selección debe ser no-op; con orden/filtro debe editar la identidad correcta; Guardar/Cancelar deben restaurar selección, scroll y foco.",P1,implementado_pendiente_validacion_jar,R04;R08,"sin commit; working tree release/189-lts sobre 488b91d2a36ba469c975c0132a029f7a0380e5d2","Pruebas técnicas agregadas para índice vista/modelo, selección ausente, estado deshabilitado y vecino tras eliminación. Backlog Restobar: no es escenario ejecutable de Venta ni acredita PASS sin JAR/JAB."
XG-ACC-003,xgestion,Restobar / formTicket,Recorrer pedidos precuenta y cobro con Tab y Shift+Tab,"La implementación todavía no fue inspeccionada en un FAT JAR: falta observar con JAB el recorrido real y los estados visible/habilitado.","El checkout ERP amplía el recorrido a producto, cantidad, grilla, Editar, comprobante, notas y acciones F1-F12; conserva los atajos existentes.","Criterio de cierre: comprobar en el FAT JAR que Tab y Shift+Tab alcanzan en orden lógico todas las acciones visibles/habilitadas de pedido, cocina, precuenta y cobro y que JAB informa foco, nombre, rol y estado.",P1,implementado_pendiente_validacion_jar,R08;R10;R13,"sin commit; working tree release/189-lts sobre 488b91d2a36ba469c975c0132a029f7a0380e5d2","Se agregaron nombres/descripciones accesibles, relaciones de etiquetas, recorrido explícito y leyenda discreta. Backlog Restobar: no es escenario ejecutable de Venta ni acredita PASS sin JAR/JAB."
XG-ACC-004,xgestion,Restobar / formTicketDetalle,Guardar o cancelar una edición una sola vez,"La implementación todavía no fue inspeccionada en un FAT JAR: faltan prueba manual de activación única y lectura JAB del diálogo.","El checkout ERP usa acciones separadas Guardar/Cancelar para botón, Enter, Escape y cierre con X; Cantidad recibe foco inicial.","Criterio de cierre: verificar en el FAT JAR que Enter guarda una sola vez, Escape/X cancelan sin cambios, las etiquetas están asociadas y JAB expone nombres, roles, estados, valores y foco.",P1,implementado_pendiente_validacion_jar,R04,"sin commit; working tree release/189-lts sobre 488b91d2a36ba469c975c0132a029f7a0380e5d2","Se eliminó la ruta duplicada de Enter en Notas, se agregó Cancelar visible, recorrido Tab/Shift+Tab, semántica accesible y guard de fuente. Backlog Restobar: no es escenario ejecutable de Venta ni acredita PASS sin JAR/JAB."
XG-ACC-005,xgestion,Restobar / FormOpcionesCierreMesa,Cancelar el cierre sin reutilizar una opción anterior,"La implementación todavía no fue inspeccionada en un FAT JAR: falta confirmar Escape/X y reaperturas consecutivas en la UI real.","El checkout ERP mantiene un resultado por instancia; Escape y X cancelan explícitamente y 1/2 comparten las acciones de los botones.","Criterio de cierre: verificar en el FAT JAR dos aperturas consecutivas y comprobar que Escape/X siempre devuelven cancelado, jamás reutilizan una opción previa ni ejecutan cierre/precuenta.",P0,implementado_pendiente_validacion_jar,R10;R13,"sin commit; working tree release/189-lts sobre 488b91d2a36ba469c975c0132a029f7a0380e5d2","Pruebas unitarias demuestran aislamiento entre instancias y cancelación explícita; el consumidor usa getAccionElegida() de la instancia. Backlog Restobar: no es escenario ejecutable de Venta ni acredita PASS sin JAR/JAB."
XG-ACC-006,xgestion,Venta / grilla de productos,Leer la identidad de la oferta y su leyenda desde JAB,El renderer dibuja badges; NombreConBadges.toString devuelve solo el texto del producto. No se verificó un control accesible separado para la leyenda.,PRM-060/062 comprueban importes y el ID de oferta persistido; la leyenda visual permanece pendiente de comprobación manual.,"Exponer nombre y detalle de oferta en la descripción accesible de la fila o en un control legible asociado, con acceso por teclado y leyenda discreta. Cerrar sólo tras inspeccionar el FAT JAR y comprobar identidad y texto por JAB.",P1,pendiente,XG-PRM-060;XG-PRM-062,4b80ca6af137d1a7c06ac6d4545e1c08f9f21f1a,FormVenta:4158-4173; NombreYBadgesRenderer; NombreConBadges.toString:142-144. Inspección de fuente; sin validación real de JAR/JAB.
XG-ACC-007,xgestion,Carga de remito / detalle,Editar cantidades y recepción por teclado,La apertura del detalle está vinculada al doble clic en la fila. Falta verificar acción o atajo y acceso a selección masiva Recibido/Suma stock.,Fichas REM documentadas; edición sin automatización. La autorización previa de doble clic de Venta no se extiende a esta pantalla.,"Agregar acción compartida Editar con atajo y leyenda discreta, identidad de fila y nombres/estados JAB. Revisar teclado para encabezados masivos; calibrar guardar/cancelar y restauración de foco en el FAT JAR.",P1,pendiente,XG-REM-006;XG-REM-014,4b80ca6af137d1a7c06ac6d4545e1c08f9f21f1a,"src/ModuloStocks/Vistas/FormCargaDeRemito.java:270-328,2297-2315,2477-2516; FormOrdenCompraDetalle.java:461-473 (Eliminar dentro del editor). Fuente inspeccionada; JAR/JAB pendientes."
XG-ACC-008,xgestion,"Restobar / carta, opciones y receta",Elegir opciones e ingredientes por teclado y leer su estado,Botones dinámicos de platos/opciones declaran setFocusable(false); nombres/selección de opciones y asociación de etiquetas en receta requieren inspección JAB.,Ctrl+E y Escape disponibles en ciertos editores; los selectores dinámicos y la receta todavía no tienen calibración para sus recorridos.,"Permitir foco y navegación por teclado, nombres/estado seleccionado, etiquetas asociadas y atajos con leyenda discreta; verificar cantidad/precio/ingrediente antes y después de guardar/cancelar.",P1,pendiente,XG-RES-004;XG-RES-006;XG-RES-008;XG-RES-016;XG-RES-018,4b80ca6af137d1a7c06ac6d4545e1c08f9f21f1a,"FormProductoOpcionesPicker.java:480; formTicket.java:2961,2988,3046,3125,4862,4987; FormReceta.java:79-97. Sin ejecución del FAT JAR ni JAB."
XG-ACC-009,xgestion,Cobro múltiple / DialogCobroMultiple,Quitar un pago seleccionado por teclado,La eliminación identificada en fuente depende del doble clic de la fila; no se verificó botón ni atajo equivalente.,COB-002 permanece documentado sin automatización. El permiso de doble clic del editor de Venta no cubre este control.,"Agregar acción compartida Quitar pago con botón y atajo visible en leyenda discreta; exponer fila, medio, importe, moneda y estado por JAB. Calibrar identidad y cancelación en el JAR.",P0,pendiente,XG-COB-002,daa002d597d0fa7380ace204d3727085c52d1415,src/ModuloVentas/Vistas/Dialogs/DialogCobroMultiple.java:551-565. Inspección de fuente; JAR/JAB pendientes.
XG-ACC-010,xgestion,Cuentas corrientes clientes,Abrir cuenta seleccionada,Enter agregado en fuente 3f8648035; falta validar JAR/JAB. Doble clic sigue no autorizado.,FIN-012 permanece planned hasta validar KEY-001; no reemplazar UI por SQL/API.,Calibrar Enter y comprobar identidad visible del cliente abierto tras buscar/ordenar; no depender del ID oculto.,P0,implementado_en_fuente_pendiente_jab,XG-FIN-012;XG-FIN-001;XG-CCC-001;XG-KEY-001,3f8648035380535f639da140d208fd299a096593,FormCuentasCorrientesClientes.abrirCuentaSeleccionada; FAT JAR identificado en evidencia-atajos-3f8648035.md. Sin VM/paquete ni ejecución JAB.
